8 8
1 0 0
3 0 784
4 0 240
5 0 20
1 1 0
3 1 784
4 1 240
5 0 20
1 2 0
3 2 784
4 2 240
5 0 20
1 3 0
3 3 784
4 3 240
5 0 20
1 4 0
3 4 784
4 4 240
5 0 20
1 5 0
3 5 784
4 5 240
5 0 20
1 6 0
3 6 784
4 6 240
5 0 20
1 7 0
3 7 784
4 7 240
5 0 20
12 0 0
7 0 0
4 0 1031
5 0 100
4 1 1031
5 0 100
4 2 1031
5 0 100
4 3 1031
5 0 100
4 4 1031
5 0 100
4 5 1031
5 0 100
4 6 1031
5 0 100
4 7 1031
5 0 100
12 0 0
7 0 0
10 0 0
7 0 0
11 0 0
7 0 0
4 0 1031
5 0 100
4 1 1031
5 0 100
4 2 1031
5 0 100
4 3 1031
5 0 100
4 4 1031
5 0 100
4 5 1031
5 0 100
4 6 1031
5 0 100
4 7 1031
5 0 100
12 0 0
7 0 0
10 0 0
7 0 0
11 0 0
7 0 0
4 0 7848
5 0 500
4 1 7848
5 0 500
4 2 7848
5 0 500
4 3 7848
5 0 500
4 4 7848
5 0 500
4 5 7848
5 0 500
4 6 7848
5 0 500
4 7 7848
5 0 500
9 0 0
7 0 0
8 0 0
6 0 10
6 1 10
6 2 10
6 3 10
6 4 10
6 5 10
6 6 10
6 7 10
2 0 0
2 1 0
2 2 0
2 3 0
2 4 0
2 5 0
2 6 0
2 7 0
